store,item,date,sales
S1,I1,2022-03-05,40.4
S1,I1,2022-03-06,48.3
S1,I1,2022-03-07,52.3
S1,I1,2022-03-08,58.9
S1,I1,2022-03-09,58.5
S1,I1,2022-03-10,54.6
S1,I1,2022-03-11,49.0
S1,I1,2022-03-12,33.6
S1,I1,2022-03-13,36.5
S1,I1,2022-03-14,43.8
S1,I1,2022-03-15,59.9
S1,I1,2022-03-16,63.4
S1,I1,2022-03-17,58.9
S1,I1,2022-03-18,46.2
S1,I1,2022-03-19,43.8
S1,I1,2022-03-20,51.0
S1,I1,2022-03-21,49.2
S1,I1,2022-03-22,57.4
S1,I1,2022-03-23,61.4
S1,I1,2022-03-24,53.3
S1,I1,2022-03-25,48.9
S1,I1,2022-03-26,37.3
S1,I1,2022-03-27,46.1
S1,I1,2022-03-28,50.6
S1,I1,2022-03-29,65.6
S1,I1,2022-03-30,70.3
S1,I1,2022-03-31,58.7
S1,I1,2022-04-01,51.4
S1,I1,2022-04-02,45.0
S1,I1,2022-04-03,39.6
S1,I1,2022-04-04,52.6
S1,I1,2022-04-05,51.4
S1,I1,2022-04-06,55.5
S1,I1,2022-04-07,47.3
S1,I1,2022-04-08,38.0
S1,I1,2022-04-09,38.2
S1,I1,2022-04-10,36.5
S1,I1,2022-04-11,48.9
S1,I1,2022-04-12,65.7
S1,I1,2022-04-13,66.0
S1,I1,2022-04-14,63.6
S1,I1,2022-04-15,40.4
S1,I1,2022-04-16,42.6
S1,I1,2022-04-17,38.5
S1,I1,2022-04-18,49.8
S1,I1,2022-04-19,64.9
S1,I1,2022-04-20,55.4
S1,I1,2022-04-21,57.9
S1,I1,2022-04-22,52.5
S1,I1,2022-04-23,36.3
S1,I1,2022-04-24,37.5
S1,I1,2022-04-25,60.7
S1,I1,2022-04-26,58.4
S1,I1,2022-04-27,67.8
S1,I1,2022-04-28,57.3
S1,I1,2022-04-29,58.0
S1,I1,2022-04-30,41.5
S1,I1,2022-05-01,39.2
S1,I1,2022-05-02,51.2
S1,I1,2022-05-03,62.9
S1,I1,2022-05-04,66.7
S1,I1,2022-05-05,63.2
S1,I1,2022-05-06,53.4
S1,I1,2022-05-07,51.4
S1,I1,2022-05-08,38.2
S1,I1,2022-05-09,51.0
S1,I1,2022-05-10,55.1
S1,I1,2022-05-11,63.5
S1,I1,2022-05-12,44.8
S1,I1,2022-05-13,50.7
S1,I1,2022-05-14,36.1
S1,I1,2022-05-15,33.3
S1,I1,2022-05-16,52.0
S1,I1,2022-05-17,65.1
S1,I1,2022-05-18,64.8
S1,I1,2022-05-19,62.8
S1,I1,2022-05-20,54.4
S1,I1,2022-05-21,43.8
S1,I1,2022-05-22,47.6
S1,I1,2022-05-23,43.8
S1,I1,2022-05-24,60.6
S1,I1,2022-05-25,60.2
S1,I1,2022-05-26,50.8
S1,I1,2022-05-27,44.9
S1,I1,2022-05-28,43.1
S1,I1,2022-05-29,50.5
S1,I1,2022-05-30,56.4
S1,I1,2022-05-31,61.4
S1,I1,2022-06-01,59.9
S1,I1,2022-06-02,47.2
S1,I1,2022-06-03,49.3
S1,I1,2022-06-04,48.3
S1,I1,2022-06-05,51.5
S1,I1,2022-06-06,51.4
S1,I1,2022-06-07,70.2
S1,I1,2022-06-08,60.2
S1,I1,2022-06-09,56.1
S1,I1,2022-06-10,43.0
S1,I1,2022-06-11,44.5
S1,I1,2022-06-12,56.8
S1,I1,2022-06-13,50.3
S1,I1,2022-06-14,70.3
S1,I1,2022-06-15,57.8
S1,I1,2022-06-16,59.8
S1,I1,2022-06-17,49.9
S1,I1,2022-06-18,44.5
S1,I1,2022-06-19,41.0
S1,I1,2022-06-20,52.4
S1,I1,2022-06-21,62.2
S1,I1,2022-06-22,64.7
S1,I1,2022-06-23,44.8
S1,I1,2022-06-24,40.7
S1,I1,2022-06-25,39.9
S1,I1,2022-06-26,51.5
S1,I1,2022-06-27,55.4
S1,I1,2022-06-28,60.6
S1,I1,2022-06-29,64.4
S1,I1,2022-06-30,64.3
S1,I1,2022-07-01,51.3
S1,I1,2022-07-02,39.2
S1,I1,2022-07-03,53.9
S1,I1,2022-07-04,58.2
S1,I1,2022-07-05,70.7
S1,I1,2022-07-06,66.4
S1,I1,2022-07-07,53.2
S1,I1,2022-07-08,49.1
S1,I1,2022-07-09,52.4
S1,I1,2022-07-10,54.1
S1,I1,2022-07-11,51.0
S1,I1,2022-07-12,57.0
S1,I1,2022-07-13,67.6
S1,I1,2022-07-14,50.4
S1,I1,2022-07-15,45.3
S1,I1,2022-07-16,48.8
S1,I1,2022-07-17,44.7
S1,I1,2022-07-18,52.0
S1,I1,2022-07-19,64.1
S1,I1,2022-07-20,68.1
S1,I1,2022-07-21,65.3
S1,I1,2022-07-22,48.6
S1,I1,2022-07-23,49.6
S1,I1,2022-07-24,37.0
S1,I1,2022-07-25,49.9
S1,I1,2022-07-26,57.9
S1,I1,2022-07-27,59.0
S1,I1,2022-07-28,51.8
S1,I1,2022-07-29,49.2
S1,I1,2022-07-30,45.1
S1,I1,2022-07-31,44.2
S1,I1,2022-08-01,58.6
S1,I1,2022-08-02,59.3
S1,I1,2022-08-03,63.9
S1,I1,2022-08-04,56.8
S1,I1,2022-08-05,49.6
S1,I1,2022-08-06,50.8
S1,I1,2022-08-07,43.0
S1,I1,2022-08-08,53.5
S1,I1,2022-08-09,67.5
S1,I1,2022-08-10,62.3
S1,I1,2022-08-11,57.6
S1,I1,2022-08-12,45.8
S1,I1,2022-08-13,50.5
S1,I1,2022-08-14,44.6
S1,I1,2022-08-15,68.3
S1,I1,2022-08-16,77.7
S1,I1,2022-08-17,55.5
S1,I1,2022-08-18,54.1
S1,I1,2022-08-19,42.1
S1,I1,2022-08-20,40.8
S1,I1,2022-08-21,51.3
S1,I1,2022-08-22,61.9
S1,I1,2022-08-23,54.0
S1,I1,2022-08-24,63.2
S1,I1,2022-08-25,47.1
S1,I1,2022-08-26,53.9
S1,I1,2022-08-27,38.3
S1,I1,2022-08-28,42.9
S1,I1,2022-08-29,52.5
S1,I1,2022-08-30,64.9
S1,I1,2022-08-31,57.6
S1,I1,2022-09-01,47.3
S1,I1,2022-09-02,63.3
S1,I1,2022-09-03,36.1
S1,I1,2022-09-04,42.8
S1,I1,2022-09-05,60.3
S1,I1,2022-09-06,79.1
S1,I1,2022-09-07,56.9
S1,I1,2022-09-08,54.1
S1,I1,2022-09-09,55.0
S1,I1,2022-09-10,55.2
S1,I1,2022-09-11,41.0
S1,I1,2022-09-12,58.7
S1,I1,2022-09-13,66.0
S1,I1,2022-09-14,67.6
S1,I1,2022-09-15,58.9
S1,I1,2022-09-16,48.8
S1,I1,2022-09-17,40.5
S1,I1,2022-09-18,45.1
S1,I1,2022-09-19,53.2
S1,I1,2022-09-20,68.8
S1,I1,2022-09-21,59.6
S1,I1,2022-09-22,55.3
S1,I1,2022-09-23,61.4
S1,I1,2022-09-24,54.5
S1,I1,2022-09-25,48.6
S1,I1,2022-09-26,50.3
S1,I1,2022-09-27,62.8
S1,I1,2022-09-28,61.2
S1,I1,2022-09-29,61.3
S1,I1,2022-09-30,47.8
S1,I1,2022-10-01,58.5
S1,I1,2022-10-02,57.6
S1,I1,2022-10-03,53.5
S1,I1,2022-10-04,62.2
S1,I1,2022-10-05,66.4
S1,I1,2022-10-06,66.9
S1,I1,2022-10-07,52.1
S1,I1,2022-10-08,48.4
S1,I1,2022-10-09,41.5
S1,I1,2022-10-10,55.6
S1,I1,2022-10-11,66.8
S1,I1,2022-10-12,59.3
S1,I1,2022-10-13,63.8
S1,I1,2022-10-14,52.7
S1,I1,2022-10-15,51.8
S1,I1,2022-10-16,43.7
S1,I1,2022-10-17,57.6
S1,I1,2022-10-18,63.9
S1,I1,2022-10-19,64.3
S1,I1,2022-10-20,68.6
S1,I1,2022-10-21,42.9
S1,I1,2022-10-22,44.6
S1,I1,2022-10-23,44.5
S1,I1,2022-10-24,57.9
S1,I1,2022-10-25,59.8
S1,I1,2022-10-26,56.5
S1,I1,2022-10-27,62.3
S1,I1,2022-10-28,55.8
S1,I1,2022-10-29,34.3
S1,I1,2022-10-30,54.6
S1,I1,2022-10-31,53.4
S1,I1,2022-11-01,56.5
S1,I1,2022-11-02,63.5
S1,I1,2022-11-03,60.2
S1,I1,2022-11-04,56.8
S1,I1,2022-11-05,46.0
S1,I1,2022-11-06,60.1
S1,I1,2022-11-07,63.7
S1,I1,2022-11-08,74.0
S1,I1,2022-11-09,76.6
S1,I1,2022-11-10,64.6
S1,I1,2022-11-11,56.2
S1,I1,2022-11-12,48.1
S1,I1,2022-11-13,51.3
S1,I1,2022-11-14,57.2
S1,I1,2022-11-15,68.2
S1,I1,2022-11-16,59.6
S1,I1,2022-11-17,63.8
S1,I1,2022-11-18,54.1
S1,I1,2022-11-19,57.7
S1,I1,2022-11-20,51.7
S1,I1,2022-11-21,64.9
S1,I1,2022-11-22,69.6
S1,I1,2022-11-23,58.3
S1,I1,2022-11-24,64.0
S1,I1,2022-11-25,40.3
S1,I1,2022-11-26,42.4
S1,I1,2022-11-27,54.6
S1,I1,2022-11-28,53.5
S1,I1,2022-11-29,58.7
S1,I1,2022-11-30,59.3
S1,I1,2022-12-01,61.2
S1,I1,2022-12-02,50.3
S1,I1,2022-12-03,43.5
S1,I1,2022-12-04,48.1
S1,I1,2022-12-05,63.0
S1,I1,2022-12-06,71.5
S1,I1,2022-12-07,52.8
S1,I1,2022-12-08,60.6
S1,I1,2022-12-09,55.2
S1,I1,2022-12-10,49.2
S1,I1,2022-12-11,59.8
S1,I1,2022-12-12,47.2
S1,I1,2022-12-13,64.6
S1,I1,2022-12-14,67.2
S1,I1,2022-12-15,54.0
S1,I1,2022-12-16,60.1
S1,I1,2022-12-17,46.1
S1,I1,2022-12-18,49.4
S1,I1,2022-12-19,56.9
S1,I1,2022-12-20,68.6
S1,I1,2022-12-21,69.8
S1,I1,2022-12-22,63.0
S1,I1,2022-12-23,58.0
S1,I1,2022-12-24,42.6
S1,I1,2022-12-25,41.2
S1,I1,2022-12-26,54.4
S1,I1,2022-12-27,69.4
S1,I1,2022-12-28,70.4
S1,I1,2022-12-29,69.6
S1,I1,2022-12-30,44.9
S1,I1,2022-12-31,44.3
S1,I2,2022-01-01,46.2
S1,I2,2022-01-02,47.2
S1,I2,2022-01-03,54.3
S1,I2,2022-01-04,59.9
S1,I2,2022-01-05,65.0
S1,I2,2022-01-06,58.6
S1,I2,2022-01-07,51.5
S1,I2,2022-01-08,46.2
S1,I2,2022-01-09,35.8
S1,I2,2022-01-10,35.7
S1,I2,2022-01-11,65.1
S1,I2,2022-01-12,61.9
S1,I2,2022-01-13,47.1
S1,I2,2022-01-14,40.6
S1,I2,2022-01-15,43.6
S1,I2,2022-01-16,51.6
S1,I2,2022-01-17,58.5
S1,I2,2022-01-18,57.3
S1,I2,2022-01-19,57.6
S1,I2,2022-01-20,50.6
S1,I2,2022-01-21,46.4
S1,I2,2022-01-22,42.6
S1,I2,2022-01-23,36.5
S1,I2,2022-01-24,61.8
S1,I2,2022-01-25,64.3
S1,I2,2022-01-26,67.3
S1,I2,2022-01-27,50.3
S1,I2,2022-01-28,48.3
S1,I2,2022-01-29,43.4
S1,I2,2022-01-30,44.5
S1,I2,2022-01-31,56.1
S1,I2,2022-02-01,67.0
S1,I2,2022-02-02,63.9
S1,I2,2022-02-03,57.5
S1,I2,2022-02-04,41.8
S1,I2,2022-02-05,29.4
S1,I2,2022-02-06,42.6
S1,I2,2022-02-07,46.0
S1,I2,2022-02-08,56.4
S1,I2,2022-02-09,68.5
S1,I2,2022-02-10,67.7
S1,I2,2022-02-11,53.5
S1,I2,2022-02-12,42.6
S1,I2,2022-02-13,49.6
S1,I2,2022-02-14,51.0
S1,I2,2022-02-15,65.0
S1,I2,2022-02-16,48.3
S1,I2,2022-02-17,51.4
S1,I2,2022-02-18,45.4
S1,I2,2022-02-19,34.9
S1,I2,2022-02-20,45.1
S1,I2,2022-02-21,52.1
S1,I2,2022-02-22,66.8
S1,I2,2022-02-23,68.4
S1,I2,2022-02-24,58.7
S1,I2,2022-02-25,48.7
S1,I2,2022-02-26,44.6
S1,I2,2022-02-27,43.2
S1,I2,2022-02-28,44.2
S1,I2,2022-03-01,60.5
S1,I2,2022-03-02,57.7
S1,I2,2022-03-03,49.4
S1,I2,2022-03-04,54.0
S1,I2,2022-03-05,36.2
S1,I2,2022-03-06,30.4
S1,I2,2022-03-07,47.3
S1,I2,2022-03-08,63.2
S1,I2,2022-03-09,65.8
S1,I2,2022-03-10,56.4
S1,I2,2022-03-11,44.4
S1,I2,2022-03-12,35.0
S1,I2,2022-03-13,45.7
S1,I2,2022-03-14,58.7
S1,I2,2022-03-15,60.1
S1,I2,2022-03-16,66.7
S1,I2,2022-03-17,58.0
S1,I2,2022-03-18,40.9
S1,I2,2022-03-19,35.4
S1,I2,2022-03-20,39.3
S1,I2,2022-03-21,52.6
S1,I2,2022-03-22,53.8
S1,I2,2022-03-23,56.4
S1,I2,2022-03-24,57.9
S1,I2,2022-03-25,46.1
S1,I2,2022-03-26,40.2
S1,I2,2022-03-27,41.6
S1,I2,2022-03-28,52.4
S1,I2,2022-03-29,58.6
S1,I2,2022-03-30,64.9
S1,I2,2022-03-31,50.6
S1,I2,2022-04-01,41.1
S1,I2,2022-04-02,48.5
S1,I2,2022-04-03,39.5
S1,I2,2022-04-04,43.3
S1,I2,2022-04-05,50.2
S1,I2,2022-04-06,66.6
S1,I2,2022-04-07,59.6
S1,I2,2022-04-08,46.4
S1,I2,2022-04-09,50.7
S1,I2,2022-04-10,36.8
S1,I2,2022-04-11,60.1
S1,I2,2022-04-12,64.2
S1,I2,2022-04-13,53.6
S1,I2,2022-04-14,59.2
S1,I2,2022-04-15,41.0
S1,I2,2022-04-16,34.1
S1,I2,2022-04-17,41.4
S1,I2,2022-04-18,60.7
S1,I2,2022-04-19,69.1
S1,I2,2022-04-20,58.5
S1,I2,2022-04-21,64.3
S1,I2,2022-04-22,46.1
S1,I2,2022-04-23,48.8
S1,I2,2022-04-24,51.0
S1,I2,2022-04-25,54.1
S1,I2,2022-04-26,64.8
S1,I2,2022-04-27,76.7
S1,I2,2022-04-28,60.6
S1,I2,2022-04-29,42.6
S1,I2,2022-04-30,39.8
S1,I2,2022-05-01,38.9
S1,I2,2022-05-02,44.8
S1,I2,2022-05-03,58.3
S1,I2,2022-05-04,59.0
S1,I2,2022-05-05,62.4
S1,I2,2022-05-06,48.3
S1,I2,2022-05-07,48.6
S1,I2,2022-05-08,48.3
S1,I2,2022-05-09,45.5
S1,I2,2022-05-10,61.3
S1,I2,2022-05-11,59.3
S1,I2,2022-05-12,52.2
S1,I2,2022-05-13,46.5
S1,I2,2022-05-14,45.3
S1,I2,2022-05-15,43.4
S1,I2,2022-05-16,55.5
S1,I2,2022-05-17,50.7
S1,I2,2022-05-18,57.2
S1,I2,2022-05-19,54.7
S1,I2,2022-05-20,49.5
S1,I2,2022-05-21,42.3
S1,I2,2022-05-22,40.3
S1,I2,2022-05-23,58.5
S1,I2,2022-05-24,63.1
S1,I2,2022-05-25,58.1
S1,I2,2022-05-26,51.6
S1,I2,2022-05-27,45.8
S1,I2,2022-05-28,47.4
S1,I2,2022-05-29,43.3
S1,I2,2022-05-30,56.3
S1,I2,2022-05-31,62.4
S1,I2,2022-06-01,66.6
S1,I2,2022-06-02,46.7
S1,I2,2022-06-03,42.6
S1,I2,2022-06-04,33.5
S1,I2,2022-06-05,49.9
S1,I2,2022-06-06,64.2
S1,I2,2022-06-07,56.7
S1,I2,2022-06-08,51.6
S1,I2,2022-06-09,47.1
S1,I2,2022-06-10,43.1
S1,I2,2022-06-11,43.3
S1,I2,2022-06-12,43.6
S1,I2,2022-06-13,59.0
S1,I2,2022-06-14,58.4
S1,I2,2022-06-15,71.6
S1,I2,2022-06-16,54.9
S1,I2,2022-06-17,47.4
S1,I2,2022-06-18,45.0
S1,I2,2022-06-19,38.1
S1,I2,2022-06-20,55.3
S1,I2,2022-06-21,59.6
S1,I2,2022-06-22,64.8
S1,I2,2022-06-23,68.0
S1,I2,2022-06-24,48.2
S1,I2,2022-06-25,59.0
S1,I2,2022-06-26,49.3
S1,I2,2022-06-27,46.4
S1,I2,2022-06-28,63.2
S1,I2,2022-06-29,56.4
S1,I2,2022-06-30,54.6
S1,I2,2022-07-01,49.8
S1,I2,2022-07-02,51.9
S1,I2,2022-07-03,44.2
S1,I2,2022-07-04,58.3
S1,I2,2022-07-05,71.3
S1,I2,2022-07-06,64.5
S1,I2,2022-07-07,55.1
S1,I2,2022-07-08,59.0
S1,I2,2022-07-09,35.2
S1,I2,2022-07-10,45.5
S1,I2,2022-07-11,45.9
S1,I2,2022-07-12,62.6
S1,I2,2022-07-13,67.1
S1,I2,2022-07-14,60.2
S1,I2,2022-07-15,59.9
S1,I2,2022-07-16,42.4
S1,I2,2022-07-17,47.4
S1,I2,2022-07-18,46.8
S1,I2,2022-07-19,63.3
S1,I2,2022-07-20,66.7
S1,I2,2022-07-21,56.3
S1,I2,2022-07-22,53.9
S1,I2,2022-07-23,49.5
S1,I2,2022-07-24,45.3
S1,I2,2022-07-25,57.6
S1,I2,2022-07-26,50.3
S1,I2,2022-07-27,65.7
S1,I2,2022-07-28,65.9
S1,I2,2022-07-29,53.8
S1,I2,2022-07-30,38.5
S1,I2,2022-07-31,48.3
S1,I2,2022-08-01,60.8
S1,I2,2022-08-02,60.2
S1,I2,2022-08-03,64.9
S1,I2,2022-08-04,53.7
S1,I2,2022-08-05,54.5
S1,I2,2022-08-06,28.3
S1,I2,2022-08-07,50.1
S1,I2,2022-08-08,38.3
S1,I2,2022-08-09,59.5
S1,I2,2022-08-10,66.3
S1,I2,2022-08-11,62.7
S1,I2,2022-08-12,40.3
S1,I2,2022-08-13,45.2
S1,I2,2022-08-14,51.7
S1,I2,2022-08-15,50.9
S1,I2,2022-08-16,74.0
S1,I2,2022-08-17,60.1
S1,I2,2022-08-18,62.1
S1,I2,2022-08-19,61.7
S1,I2,2022-08-20,46.9
S1,I2,2022-08-21,37.5
S1,I2,2022-08-22,54.2
S1,I2,2022-08-23,65.0
S1,I2,2022-08-24,52.5
S1,I2,2022-08-25,55.0
S1,I2,2022-08-26,49.8
S1,I2,2022-08-27,50.9
S1,I2,2022-08-28,48.8
S1,I2,2022-08-29,59.4
S1,I2,2022-08-30,64.0
S1,I2,2022-08-31,68.2
S1,I2,2022-09-01,70.9
S1,I2,2022-09-02,45.4
S1,I2,2022-09-03,38.0
S1,I2,2022-09-04,54.4
S1,I2,2022-09-05,54.7
S1,I2,2022-09-06,54.6
S1,I2,2022-09-07,64.3
S1,I2,2022-09-08,69.1
S1,I2,2022-09-09,44.5
S1,I2,2022-09-10,44.7
S1,I2,2022-09-11,54.2
S1,I2,2022-09-12,57.1
S1,I2,2022-09-13,65.8
S1,I2,2022-09-14,60.0
S1,I2,2022-09-15,57.8
S1,I2,2022-09-16,50.9
S1,I2,2022-09-17,49.3
S1,I2,2022-09-18,53.6
S1,I2,2022-09-19,62.0
S1,I2,2022-09-20,71.0
S1,I2,2022-09-21,70.9
S1,I2,2022-09-22,58.8
S1,I2,2022-09-23,52.1
S1,I2,2022-09-24,52.7
S1,I2,2022-09-25,43.5
S1,I2,2022-09-26,59.1
S1,I2,2022-09-27,66.7
S1,I2,2022-09-28,66.5
S1,I2,2022-09-29,53.3
S1,I2,2022-09-30,53.6
S1,I2,2022-10-01,53.2
S1,I2,2022-10-02,51.1
S1,I2,2022-10-03,53.2
S1,I2,2022-10-04,69.7
S1,I2,2022-10-05,65.2
S1,I2,2022-10-06,59.4
S1,I2,2022-10-07,53.6
S1,I2,2022-10-08,41.3
S1,I2,2022-10-09,57.2
S1,I2,2022-10-10,54.2
S1,I2,2022-10-11,56.6
S1,I2,2022-10-12,65.2
S1,I2,2022-10-13,59.2
S1,I2,2022-10-14,43.6
S1,I2,2022-10-15,44.2
S1,I2,2022-10-16,46.3
S1,I2,2022-10-17,54.2
S1,I2,2022-10-18,66.2
S1,I2,2022-10-19,71.5
S1,I2,2022-10-20,59.5
S1,I2,2022-10-21,56.2
S1,I2,2022-10-22,33.4
S1,I2,2022-10-23,44.8
S1,I2,2022-10-24,50.0
S1,I2,2022-10-25,62.9
S1,I2,2022-10-26,67.7
S1,I2,2022-10-27,60.5
S1,I2,2022-10-28,63.8
S1,I2,2022-10-29,49.7
S1,I2,2022-10-30,45.8
S1,I2,2022-10-31,60.8
S1,I2,2022-11-01,57.6
S1,I2,2022-11-02,70.0
S1,I2,2022-11-03,65.0
S1,I2,2022-11-04,49.0
S1,I2,2022-11-05,49.6
S1,I2,2022-11-06,50.6
S1,I2,2022-11-07,54.1
S1,I2,2022-11-08,70.3
S1,I2,2022-11-09,72.1
S1,I2,2022-11-10,61.7
S1,I2,2022-11-11,50.3
S1,I2,2022-11-12,41.6
S1,I2,2022-11-13,53.1
S1,I2,2022-11-14,55.0
S1,I2,2022-11-15,63.8
S1,I2,2022-11-16,73.1
S1,I2,2022-11-17,52.6
S1,I2,2022-11-18,58.4
S1,I2,2022-11-19,50.9
S1,I2,2022-11-20,64.4
S1,I2,2022-11-21,50.3
S1,I2,2022-11-22,71.7
S1,I2,2022-11-23,67.0
S1,I2,2022-11-24,64.8
S1,I2,2022-11-25,57.7
S1,I2,2022-11-26,50.2
S1,I2,2022-11-27,45.9
S1,I2,2022-11-28,67.0
S1,I2,2022-11-29,65.6
S1,I2,2022-11-30,74.7
S1,I2,2022-12-01,60.7
S1,I2,2022-12-02,51.9
S1,I2,2022-12-03,39.5
S1,I2,2022-12-04,49.3
S1,I2,2022-12-05,59.7
S1,I2,2022-12-06,65.6
S1,I2,2022-12-07,66.0
S1,I2,2022-12-08,54.9
S1,I2,2022-12-09,43.2
S1,I2,2022-12-10,36.1
S1,I2,2022-12-11,48.5
S1,I2,2022-12-12,56.7
S1,I2,2022-12-13,73.1
S1,I2,2022-12-14,77.2
S1,I2,2022-12-15,63.4
S1,I2,2022-12-16,60.1
S1,I2,2022-12-17,50.0
S1,I2,2022-12-18,56.1
S1,I2,2022-12-19,64.4
S1,I2,2022-12-20,65.0
S1,I2,2022-12-21,66.3
S1,I2,2022-12-22,59.1
S1,I2,2022-12-23,48.0
S1,I2,2022-12-24,40.1
S1,I2,2022-12-25,52.1
S1,I2,2022-12-26,60.9
S1,I2,2022-12-27,62.4
S1,I2,2022-12-28,74.6
S1,I2,2022-12-29,66.5
S1,I2,2022-12-30,59.9
S1,I2,2022-12-31,46.0
S1,I3,2022-01-01,47.1
S1,I3,2022-01-02,41.2
S1,I3,2022-01-03,50.5
S1,I3,2022-01-04,57.6
S1,I3,2022-01-05,64.1
S1,I3,2022-01-06,56.9
S1,I3,2022-01-07,39.5
S1,I3,2022-01-08,30.3
S1,I3,2022-01-09,36.5
S1,I3,2022-01-10,43.1
S1,I3,2022-01-11,58.8
S1,I3,2022-01-12,66.3
S1,I3,2022-01-13,53.8
S1,I3,2022-01-14,39.1
S1,I3,2022-01-15,36.9
S1,I3,2022-01-16,39.9
S1,I3,2022-01-17,60.9
S1,I3,2022-01-18,53.5
S1,I3,2022-01-19,53.7
S1,I3,2022-01-20,59.4
S1,I3,2022-01-21,42.2
S1,I3,2022-01-22,43.6
S1,I3,2022-01-23,39.9
S1,I3,2022-01-24,51.0
S1,I3,2022-01-25,64.2
S1,I3,2022-01-26,54.3
S1,I3,2022-01-27,60.0
S1,I3,2022-01-28,38.5
S1,I3,2022-01-29,44.5
S1,I3,2022-01-30,45.1
S1,I3,2022-01-31,45.5
S1,I3,2022-02-01,57.9
S1,I3,2022-02-02,60.5
S1,I3,2022-02-03,50.9
S1,I3,2022-02-04,40.4
S1,I3,2022-02-05,37.5
S1,I3,2022-02-06,41.3
S1,I3,2022-02-07,49.3
S1,I3,2022-02-08,65.3
S1,I3,2022-02-09,55.6
S1,I3,2022-02-10,52.9
S1,I3,2022-02-11,42.8
S1,I3,2022-02-12,49.8
S1,I3,2022-02-13,43.7
S1,I3,2022-02-14,50.6
S1,I3,2022-02-15,63.9
S1,I3,2022-02-16,48.5
S1,I3,2022-02-17,53.3
S1,I3,2022-02-18,53.1
S1,I3,2022-02-19,38.8
S1,I3,2022-02-20,38.1
S1,I3,2022-02-21,56.1
S1,I3,2022-02-22,68.9
S1,I3,2022-02-23,55.2
S1,I3,2022-02-24,42.2
S1,I3,2022-02-25,50.1
S1,I3,2022-02-26,42.2
S1,I3,2022-02-27,48.6
S1,I3,2022-02-28,50.0
S1,I3,2022-03-01,43.4
S1,I3,2022-03-02,55.5
S1,I3,2022-03-03,38.7
S1,I3,2022-03-04,46.5
S1,I3,2022-03-05,36.0
S1,I3,2022-03-06,43.1
S1,I3,2022-03-07,59.9
S1,I3,2022-03-08,62.9
S1,I3,2022-03-09,57.0
S1,I3,2022-03-10,38.7
S1,I3,2022-03-11,49.5
S1,I3,2022-03-12,42.8
S1,I3,2022-03-13,40.6
S1,I3,2022-03-14,57.8
S1,I3,2022-03-15,52.2
S1,I3,2022-03-16,68.2
S1,I3,2022-03-17,49.5
S1,I3,2022-03-18,54.3
S1,I3,2022-03-19,35.3
S1,I3,2022-03-20,38.9
S1,I3,2022-03-21,61.2
S1,I3,2022-03-22,54.8
S1,I3,2022-03-23,65.8
S1,I3,2022-03-24,57.8
S1,I3,2022-03-25,45.6
S1,I3,2022-03-26,50.2
S1,I3,2022-03-27,40.5
S1,I3,2022-03-28,44.5
S1,I3,2022-03-29,57.4
S1,I3,2022-03-30,55.7
S1,I3,2022-03-31,61.8
S1,I3,2022-04-01,30.7
S1,I3,2022-04-02,36.8
